request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days."
request_94,572.0,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Pay EUR 572 today. This leaves at least EUR 600 available over the next 90 days.
request_95,4648.02,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-14. None of the available options keeps the INR 145,500 minimum protected."
request_96,72758.96,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-02-15,stop:event_8914,"Use 3 installments of INR 31,269.33, starting 2026-01-10. This leaves at least INR 56,500 available."
request_97,1599.8,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 2024-03-19. This leaves at least ZAR 29,700 available."
request_98,7501.74,affordable_later,wait,2025-10-15:27148,2025-10-15,none,"Wait until 2025-10-15, then pay ZAR 27,148 in full. Paying sooner would put the ZAR 30,000 minimum at risk."
request_99,17445.43,not_affordable,not_recommended,none,2026-07-15,none,"Do not make this payment by 2026-07-14. None of the available options keeps the ZAR 49,100 minimum protected."
request_100,25169.04,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,stop:event_9267,"Use 3 installments of ZAR 12,866.19, starting 2024-06-13. This leaves at least ZAR 32,500 available."
request_101,143500.0,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days."
request_102,1716.0,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,"Use 3 installments of EUR 594.88, starting 2026-04-05. This leaves at least EUR 900 available."
request_103,2146.57,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-07. None of the available options keeps the INR 125,500 minimum protected."
request_104,17204.0,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days."
request_105,51146.87,not_affordable,not_recommended,none,2026-06-15,none,"Do not make this payment by 2026-06-14. None of the available options keeps the INR 73,900 minimum protected."
request_106,463.22,affordable_later,wait,2025-02-15:2207.70,2025-02-15,none,"Wait until 2025-02-15, then pay EUR 2,207.70 in full. Paying sooner would put the EUR 1,200 minimum at risk."
request_107,2416.94,affordable_with_plan,installments,2025-05-08:878.59|2025-06-05:878.59|2025-07-03:878.59,2025-05-15,none,"Use 3 installments of EUR 878.59, starting 2025-05-08. This leaves at least EUR 1,600 available."
request_108,1717.39,not_affordable,not_recommended,none,2026-09-15,none,"Do not make this payment by 2026-07-26. None of the available options keeps the ZAR 24,100 minimum protected."
request_109,522.09,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-05-15,none,"Use 3 installments of EUR 645.98, starting 2024-03-18. This leaves at least EUR 1,700 available."
request_110,22352.0,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,2025-08-06,none,"Use 3 installments of ZAR 7,748.69, starting 2025-08-06. This leaves at least ZAR 11,200 available."
request_111,16625000.0,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days."
request_112,271.7,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days.
request_113,21740.4,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Wait until 2026-09-15, then pay INR 36,500 in full. Paying sooner would put the INR 82,300 minimum at risk."
request_114,58948.03,not_affordable,not_recommended,none,2026-01-15,none,"Do not make this payment by 2026-01-14. None of the available options keeps the INR 113,400 minimum protected."
request_115,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-11-15. None of the available options keeps the INR 38,800 minimum protected."
request_116,9179.84,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-04-16. None of the available options keeps the INR 80,300 minimum protected."
request_117,859.1,not_affordable,not_recommended,none,2026-07-15,none,"Do not make this payment by 2026-07-14. None of the available options keeps the EUR 1,000 minimum protected."
request_118,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-08. None of the available options keeps the EUR 600 minimum protected.
request_119,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-17. None of the available options keeps the INR 151,200 minimum protected."
request_120,7714000.0,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days."
request_121,633.6,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days.
request_122,20558000.0,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 2025-08-05. This leaves at least IDR 12,588,500 available."
request_123,4076000.0,affordable_now,full_payment,2026-01-07:4076000,2026-01-07,none,"Pay IDR 4,076,000 today. This leaves at least IDR 18,091,200 available over the next 90 days."
request_124,1392.45,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,stop:event_11448,"Use 3 installments of EUR 1,076.12, starting 2024-06-11. This leaves at least EUR 1,600 available."
request_125,5834.63,not_affordable,not_recommended,none,2025-11-15,none,"Do not make this payment by 2025-11-14. None of the available options keeps the ZAR 11,300 minimum protected."
request_126,159600.0,affordable_now,full_payment,2026-07-03:159600,2026-07-03,none,"Pay INR 159,600 today. This leaves at least INR 129,700 available over the next 90 days."
request_127,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-10-18. None of the available options keeps the ZAR 41,000 minimum protected."
request_128,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-02-14. None of the available options keeps the ZAR 42,600 minimum protected."
request_129,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-18. None of the available options keeps the USD 800 minimum protected.
request_130,373.31,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Wait until 2025-02-15, then pay USD 1,978.80 in full. Paying sooner would put the USD 1,400 minimum at risk."
request_131,1134.44,affordable_with_plan,installments,2025-05-06:643.14|2025-06-03:643.14|2025-07-01:643.14,2025-07-23,reduce_to:event_12065:21.20,"Use 3 installments of USD 643.14, starting 2025-05-06. This leaves at least USD 1,100 available."
request_132,288.13,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Wait until 2026-01-15, then pay USD 379.86 in full. Paying sooner would put the USD 1,100 minimum at risk."
request_133,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-03-29. None of the available options keeps the IDR 9,986,200 minimum protected."
request_134,4461408.14,affordable_later,wait,2025-10-15:21831000,2025-10-15,none,"Wait until 2025-10-15, then pay IDR 21,831,000 in full. Paying sooner would put the IDR 15,902,500 minimum at risk."
request_135,283.19,not_affordable,not_recommended,none,2026-07-15,none,Do not make this payment by 2026-07-14. None of the available options keeps the USD 500 minimum protected.
request_136,528.5,not_affordable,not_recommended,none,2024-06-15,none,"Do not make this payment by 2024-06-14. None of the available options keeps the USD 1,100 minimum protected."
request_137,24172.15,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the INR 71,800 minimum protected."
request_138,748.27,affordable_with_plan,partial_payment,2026-04-07:748.27|2026-04-15:508.67,2026-04-15,none,"Pay EUR 748.27 on 2026-04-07, then EUR 508.67 on 2026-04-15. This leaves at least EUR 2,300 available."
request_139,1247.41,not_affordable,not_recommended,none,2024-11-15,none,"Do not make this payment by 2024-11-17. None of the available options keeps the USD 1,500 minimum protected."
request_140,1428.8,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-03-04. None of the available options keeps the ZAR 21,600 minimum protected."
request_141,20438.08,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-02-12. None of the available options keeps the INR 67,300 minimum protected."
request_142,1263.6,affordable_now,full_payment,2024-12-05:1263.60,2024-12-05,none,"Pay USD 1,263.60 today. This leaves at least USD 1,700 available over the next 90 days."
request_143,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-07-15. None of the available options keeps the ZAR 11,300 minimum protected."
request_144,233.34,affordable_now,full_payment,2026-07-04:233.34,2026-07-04,none,Pay USD 233.34 today. This leaves at least USD 600 available over the next 90 days.
request_145,27650.11,affordable_with_plan,installments,2024-03-20:75365.33|2024-04-20:75365.33|2024-05-21:75365.33,2024-05-15,reduce_to:event_13341:2920,"Use 3 installments of INR 75,365.33, starting 2024-03-20. This leaves at least INR 155,400 available."
request_146,16037.1,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-10-17. None of the available options keeps the INR 108,600 minimum protected."
request_147,0.0,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-06-07. None of the available options keeps the EUR 900 minimum protected.
request_148,7127.02,affordable_with_plan,installments,2024-06-14:7710.56|2024-07-15:7710.56|2024-08-15:7710.56,2024-08-15,stop:event_13593,"Use 3 installments of ZAR 7,710.56, starting 2024-06-14. This leaves at least ZAR 20,000 available."
request_149,22257.37,affordable_with_plan,installments,2025-11-18:12706.03|2025-12-16:12706.03|2026-01-13:12706.03,2025-12-15,none,"Use 3 installments of ZAR 12,706.03, starting 2025-11-18. This leaves at least ZAR 42,100 available."
request_150,274.63,affordable_with_plan,installments,2026-01-06:171.98|2026-02-05:171.98|2026-03-07:171.98,2026-03-15,stop:event_13786,"Use 3 installments of EUR 171.98, starting 2026-01-06. This leaves at least EUR 700 available."
request_151,0.0,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-09-14. None of the available options keeps the IDR 31,633,600 minimum protected."
request_152,11084.9,affordable_with_plan,installments,2025-02-12:4812.43|2025-03-12:4812.43|2025-04-09:4812.43,2025-04-15,reduce_to:event_14024:234.30,"Use 3 installments of ZAR 4,812.43, starting 2025-02-12. This leaves at least ZAR 11,900 available."
request_153,15.2,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-09-24. None of the available options keeps the USD 1,400 minimum protected."
request_154,1625.8,affordable_with_plan,installments,2024-12-04:563.61|2025-01-04:563.61|2025-02-04:563.61,2024-12-04,reduce_to:event_14186:27.20,"Use 3 installments of EUR 563.61, starting 2024-12-04. This leaves at least EUR 1,300 available."
request_155,13179.15,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-05-20. None of the available options keeps the INR 56,300 minimum protected."
request_156,8393.66,affordable_later,wait,2026-06-15:43076,2026-06-15,none,"Wait until 2026-06-15, then pay ZAR 43,076 in full. Paying sooner would put the ZAR 26,900 minimum at risk."
request_157,4775248.01,affordable_later,wait,2024-05-15:23503000,2024-05-15,none,"Wait until 2024-05-15, then pay IDR 23,503,000 in full. Paying sooner would put the IDR 15,714,100 minimum at risk."
request_158,242600.0,affordable_with_plan,installments,2025-08-07:84101.33|2025-09-04:84101.33|2025-10-02:84101.33,2025-08-07,none,"Use 3 installments of INR 84,101.33, starting 2025-08-07. This leaves at least INR 131,400 available."
request_159,3943.09,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-03-20. None of the available options keeps the ZAR 8,700 minimum protected."
request_160,569.52,affordable_with_plan,installments,2024-06-13:432.05|2024-07-14:432.05|2024-08-14:432.05,2024-07-15,none,"Use 3 installments of EUR 432.05, starting 2024-06-13. This leaves at least EUR 1,200 available."
request_161,6906804.19,affordable_later,wait,2025-11-15:21204000,2025-11-15,none,"Wait until 2025-11-15, then pay IDR 21,204,000 in full. Paying sooner would put the IDR 23,010,400 minimum at risk."
request_162,1255094.81,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-08-26. None of the available options keeps the IDR 24,161,100 minimum protected."
request_163,8809583.4,affordable_with_plan,installments,2024-09-10:6692053.33|2024-10-11:6692053.33|2024-11-11:6692053.33,2024-11-15,reduce_to:event_15018:664050,"Use 3 installments of IDR 6,692,053.33, starting 2024-09-10. This leaves at least IDR 26,728,700 available."
request_164,27018000.0,affordable_with_plan,installments,2025-02-11:9366240|2025-03-11:9366240|2025-04-08:9366240,2025-02-04,none,"Use 3 installments of IDR 9,366,240, starting 2025-02-11. This leaves at least IDR 29,550,500 available."
request_165,68752.36,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-04-21. None of the available options keeps the INR 95,000 minimum protected."
request_166,2907.6,affordable_with_plan,installments,2024-12-03:1007.97|2025-01-03:1007.97|2025-02-03:1007.97,2024-12-03,none,"Use 3 installments of USD 1,007.97, starting 2024-12-03. This leaves at least USD 1,700 available."
request_167,43802.0,affordable_now,full_payment,2025-05-05:43802,2025-05-05,none,"Pay ZAR 43,802 today. This leaves at least ZAR 31,200 available over the next 90 days."
request_168,30444.55,affordable_with_plan,partial_payment,2026-01-07:30444.55|2026-01-15:18935.45,2026-01-15,none,"Pay INR 30,444.55 on 2026-01-07, then INR 18,935.45 on 2026-01-15. This leaves at least INR 114,400 available."
request_169,41976.0,affordable_now,full_payment,2024-03-04:41976,2024-03-04,none,"Pay ZAR 41,976 today. This leaves at least ZAR 18,700 available over the next 90 days."
request_170,29866830.92,affordable_with_plan,installments,2025-08-06:12804480|2025-09-03:12804480|2025-10-01:12804480,2025-09-15,none,"Use 3 installments of IDR 12,804,480, starting 2025-08-06. This leaves at least IDR 24,715,800 available."
request_171,33.03,not_affordable,not_recommended,none,,none,Do not make this payment by 2026-09-10. None of the available options keeps the EUR 500 minimum protected.
request_172,9077.61,affordable_with_plan,partial_payment,2024-06-05:9077.61|2024-06-15:1122.39,2024-06-15,none,"Pay ZAR 9,077.61 on 2024-06-05, then ZAR 1,122.39 on 2024-06-15. This leaves at least ZAR 27,200 available."
request_173,55371.35,affordable_with_plan,installments,2025-11-21:39173.33|2025-12-19:39173.33|2026-01-16:39173.33,2026-01-15,none,"Use 3 installments of INR 39,173.33, starting 2025-11-21. This leaves at least INR 79,100 available."
request_174,1075.25,affordable_with_plan,installments,2026-04-04:397.35|2026-05-04:397.35|2026-06-03:397.35,,reduce_to:event_16013:12.50,"Use 3 installments of EUR 397.35, starting 2026-04-04. This leaves at least EUR 700 available."
request_175,2346.3,affordable_now,full_payment,2024-09-06:2346.30,2024-09-06,none,"Pay EUR 2,346.30 today. This leaves at least EUR 1,700 available over the next 90 days."
request_176,26.37,not_affordable,not_recommended,none,,none,Do not make this payment by 2025-02-27. None of the available options keeps the EUR 600 minimum protected.
request_177,1017.6,affordable_now,full_payment,2026-01-05:1017.60,2026-01-05,none,"Pay USD 1,017.60 today. This leaves at least USD 1,300 available over the next 90 days."
request_178,2938.1,affordable_with_plan,installments,2024-12-07:1018.54|2025-01-07:1018.54|2025-02-07:1018.54,2024-12-07,none,"Use 3 installments of EUR 1,018.54, starting 2024-12-07. This leaves at least EUR 1,400 available."
request_179,6584779.79,affordable_later,wait,2025-07-15:41648000,2025-07-15,none,"Wait until 2025-07-15, then pay IDR 41,648,000 in full. Paying sooner would put the IDR 41,430,800 minimum at risk."
request_180,66500.0,affordable_now,full_payment,2026-07-06:66500,2026-07-06,none,"Pay INR 66,500 today. This leaves at least INR 37,300 available over the next 90 days."
request_181,283.68,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-04-07. None of the available options keeps the USD 2,000 minimum protected."
request_182,6301.4,not_affordable,not_recommended,none,,none,"Do not make this payment by 2025-09-26. None of the available options keeps the ZAR 31,100 minimum protected."
request_183,23505918.5,affordable_with_plan,installments,2026-04-10:9313546.67|2026-05-10:9313546.67|2026-06-09:9313546.67,2026-04-15,none,"Use 3 installments of IDR 9,313,546.67, starting 2026-04-10. This leaves at least IDR 11,878,300 available."
request_184,9722.28,not_affordable,not_recommended,none,,none,"Do not make this payment by 2024-07-30. None of the available options keeps the INR 110,800 minimum protected."
request_185,309.85,not_affordable,not_recommended,none,,none,"Do not make this payment by 2026-01-15. None of the available options keeps the EUR 1,300 minimum protected."
request_186,4869.95,affordable_later,wait,2026-03-15:26554,2026-03-15,none,"Wait until 2026-03-15, then pay ZAR 26,554 in full. Paying sooner would put the ZAR 22,000 minimum at risk."
request_187,37844.44,affordable_later,wait,2024-11-15:187500,2024-11-15,none,"Wait until 2024-11-15, then pay INR 187,500 in full. Paying sooner would put the INR 128,300 minimum at risk."
